Canonical ID,Concept ID,Pool,Question,Correct Answer,Correct Index,Primary Skill,Common Error,Feedback,Hash Verified
P52B-S4-MPTX-B1-001,monetary-policy-transmission,boss_easy,The central bank buys government bonds from the public. What is the first link in the usual expansionary transmission chain?,"Reserves and the money supply rise, pushing interest rates down.",0,open_market_purchase_transmission,Skipping the money-supply and interest-rate links after an open-market purchase.,"A bond purchase adds reserves to the banking system, supports money creation, and tends to lower market interest rates.",True
P52B-S4-MPTX-B1-002,monetary-policy-transmission,boss_easy,Why can lower interest rates increase aggregate demand in the short run?,They increase investment and other rate-sensitive spending.,1,interest_sensitive_spending_channel,Treating monetary policy as a direct change in government spending or product prices.,"Lower borrowing costs encourage investment and some durable consumption, shifting aggregate demand to the right.",True
P52B-S4-MPTX-B1-003,monetary-policy-transmission,boss_easy,Money supply shifts right while money demand is unchanged. What happens at the new money-market equilibrium?,The equilibrium interest rate falls.,2,money_supply_shift_interest_rate,Reversing the interest-rate effect of a rightward money-supply shift.,"With money demand fixed, a larger money supply lowers the equilibrium interest rate.",True
P52B-S4-MPTX-B2-001,monetary-policy-transmission,boss_medium,"The central bank adds reserves, but banks choose to hold most of them as excess reserves. How does this affect the transmission mechanism?","Money and credit expand less, weakening the interest-rate and aggregate-demand response.",3,reserve_hoarding_transmission_limit,Assuming reserve injections always create the same money and credit expansion.,"When banks hold added reserves rather than lending them, money creation and the downstream spending response are weaker.",True
P52B-S4-MPTX-B2-002,monetary-policy-transmission,boss_medium,"Interest rates fall after an expansionary policy, but firms believe future sales will remain weak. What is the likely result?","Investment responds only modestly, so the rightward shift of aggregate demand is limited.",0,investment_expectations_transmission,Assuming lower rates guarantee a large investment response regardless of expectations.,"Weak expected sales can make firms reluctant to invest even when borrowing costs fall, weakening policy transmission.",True
P52B-S4-MPTX-B2-003,monetary-policy-transmission,boss_medium,Which sequence correctly traces a contractionary open-market operation through aggregate demand?,"Bond sales drain reserves, raise interest rates, reduce investment, and shift aggregate demand left.",1,contractionary_transmission_sequence,"Reversing the reserve, interest-rate, or spending links in contractionary policy.","Selling bonds drains reserves, contracts money and credit, raises rates, reduces interest-sensitive spending, and lowers aggregate demand.",True
P52B-S4-FMCO-B1-001,fiscal-multipliers-and-crowding-out,boss_easy,Households spend 75 cents of each additional dollar of disposable income. What does that imply?,"The MPC is 0.75, so repeated spending creates a multiplier greater than one.",2,mpc_and_multiplier_link,Confusing the marginal propensity to consume with the multiplier itself.,"An MPC of 0.75 means each spending round passes along 75 percent of added income, generating further rounds of expenditure.",True
P52B-S4-FMCO-B1-002,fiscal-multipliers-and-crowding-out,boss_easy,What is the central mechanism of crowding out?,Fiscal expansion raises interest rates and reduces some private investment spending.,3,crowding_out_mechanism,Reversing the interest-rate and investment effects of fiscal expansion.,"Government borrowing and stronger money demand can raise interest rates, discouraging private investment.",True
P52B-S4-FMCO-B1-003,fiscal-multipliers-and-crowding-out,boss_easy,"Holding other factors constant, which change makes the simple spending multiplier larger?",A lower marginal propensity to save.,0,multiplier_leakage,Treating more saving as a force that strengthens repeated spending rounds.,"A lower marginal propensity to save means a larger MPC, so more income is respent in each round.",True
P52B-S4-FMCO-B2-001,fiscal-multipliers-and-crowding-out,boss_medium,"Government purchases rise by $20 billion and the MPC is 0.50. Ignoring crowding out, what is the predicted total increase in aggregate demand?",$40 billion.,1,spending_multiplier_application,Using the MPC itself as the multiplier or ignoring the repeated-spending process.,"The multiplier is 1/(1 - 0.50) = 2, so a $20 billion increase produces a $40 billion gross shift.",True
P52B-S4-FMCO-B2-002,fiscal-multipliers-and-crowding-out,boss_medium,"A fiscal package creates a gross $120 billion increase in aggregate demand, but higher interest rates reduce investment by $25 billion. What is the net shift?",Aggregate demand rises by $95 billion.,2,net_multiplier_after_crowding_out,Adding the crowded-out investment to the gross effect rather than subtracting it.,Crowding out offsets part of the expansion: $120 billion minus $25 billion equals a $95 billion net increase.,True
P52B-S4-FMCO-B2-003,fiscal-multipliers-and-crowding-out,boss_medium,Why can an equal-dollar tax cut create a smaller initial aggregate-demand shift than an equal increase in government purchases?,Tax cuts are partly saved; government purchases enter aggregate demand directly.,3,tax_cut_vs_purchase_initial_effect,Assuming every dollar of a tax cut is spent immediately.,"Only the consumed portion of a tax cut enters the first spending round, whereas government purchases are direct expenditure.",True
P52B-S4-PPF-B2-001,production-possibilities-frontier,boss_medium,A country puts unemployed workers and idle factories back to work without gaining new technology. How does this appear on its PPF?,"Production moves to the existing frontier, showing greater efficiency but no growth.",0,efficiency_improvement_without_growth,Calling movement to the existing frontier economic growth.,Using existing resources more fully moves production to the frontier; growth requires the frontier itself to shift outward.,True
P52B-S4-PPF-B2-002,production-possibilities-frontier,boss_medium,"A technological improvement affects only the production of medical equipment, not food. How does the PPF change?",The medical-equipment intercept moves outward; food stays fixed.,1,one_good_ppf_pivot,Treating a one-sector technology gain as an equal shift for both goods.,A productivity gain limited to one good expands the maximum attainable quantity of that good without changing the other intercept.,True
P52B-S4-PPF-B2-003,production-possibilities-frontier,boss_medium,Why is a typical PPF bowed outward from the origin?,Specialized resources cause rising opportunity cost.,2,resource_specialization_and_ppf_shape,Attributing the bowed shape to equal resource adaptability or inefficiency.,"As production shifts, resources increasingly unsuited to the expanding good must be reassigned, raising opportunity cost.",True
P52B-S4-PPF-B3-001,production-possibilities-frontier,boss_hard,Moving from bundle A to B gains 5 machines and sacrifices 10 tons of food. Moving from B to C gains another 5 machines and sacrifices 20 tons of food. What does the pattern show?,The opportunity cost of machines rises from 2 to 4 tons of food per machine.,3,marginal_opportunity_cost_schedule,Comparing total sacrifices without converting each move to cost per additional unit.,"The first move costs 10/5 = 2 tons per machine; the second costs 20/5 = 4, showing increasing opportunity cost.",True
P52B-S4-PPF-B3-002,production-possibilities-frontier,boss_hard,"Country A chooses more capital goods and fewer consumer goods today than Country B, with otherwise similar resources. What is the likely long-run implication?",Country A may gain more future capacity because it produces more capital goods now.,0,capital_goods_and_future_growth,Ignoring the link between current investment and future productive capacity.,"Greater current production of capital goods can expand future capacity, though it requires sacrificing current consumption.",True
P52B-S4-PPF-B3-003,production-possibilities-frontier,boss_hard,"A disaster destroys equipment used only to produce electric power, while agricultural capacity is unchanged. What happens to the PPF?",Only the electric-power intercept moves inward.,1,sector_specific_capacity_loss,Treating a sector-specific loss as an equal inward shift or a movement along the same frontier.,Losing capacity in one sector reduces the maximum output of that good and rotates the frontier inward on that axis.,True
P52B-S4-PPF-R-001,production-possibilities-frontier,repair,A production point lies inside the PPF. How should it be classified?,It is attainable but inefficient because resources are underused.,2,ppf_inside_point_classification,Treating an inside point as impossible or fully efficient.,"A point inside the frontier is feasible, but the economy could produce more of at least one good with existing resources.",True
P52B-S4-STAB-B1-001,stabilization-policy,boss_easy,Which example is an automatic stabilizer during a recession?,Unemployment-benefit payments rise without a new legislative vote.,3,automatic_stabilizer_identification,Confusing automatic fiscal responses with newly enacted discretionary policy.,"Unemployment benefits expand automatically as more workers qualify, supporting income without new legislation.",True
P52B-S4-STAB-B1-002,stabilization-policy,boss_easy,Real output is below potential and inflation pressure is weak. Which demand-management direction is appropriate?,Expansionary policy that shifts aggregate demand to the right.,0,recessionary_gap_policy_direction,Applying contractionary policy to a recessionary gap.,Expansionary fiscal or monetary policy can raise aggregate demand and reduce a recessionary gap.,True
P52B-S4-STAB-B1-003,stabilization-policy,boss_easy,Why can a long implementation lag make discretionary stabilization policy harmful?,It may arrive after conditions change and destabilize the economy.,1,implementation_lag_risk,Treating delayed policy as harmless regardless of the business-cycle phase.,"A delayed response can arrive after recovery or after inflation has eased, creating a procyclical rather than stabilizing effect.",True
P52B-S4-STAB-B2-001,stabilization-policy,boss_medium,A sharp oil-price increase raises inflation and lowers real output. Why is stabilization difficult?,Supporting output may worsen inflation; fighting inflation may deepen the output loss.,2,supply_shock_stabilization_tradeoff,Treating a negative supply shock like a pure demand recession.,"A negative supply shock creates stagflation, forcing policymakers to weigh competing inflation and output objectives.",True
P52B-S4-STAB-B2-002,stabilization-policy,boss_medium,"The economy is near potential output, yet fiscal and monetary policy both become strongly expansionary. What is the main risk?",Aggregate demand may overshoot capacity and increase inflation.,3,policy_mix_overheating_risk,Assuming two expansionary policies cannot create excessive aggregate demand.,"When both policies push spending upward near capacity, the combined demand increase can create an inflationary gap.",True
P52B-S4-STAB-B2-003,stabilization-policy,boss_medium,The central bank tightens monetary policy while the government enacts fiscal expansion. What can be concluded about aggregate demand?,The net effect is uncertain because the policies work in opposite directions.,0,opposing_policy_mix,Declaring a definite outcome without comparing the strength of opposing policy impulses.,"Fiscal expansion pushes aggregate demand right, while monetary contraction pushes it left; the net change depends on magnitudes.",True
P52B-S4-QTM-H-001,quantity-theory-of-money,hard,"Money supply grows 9 percent, velocity falls 2 percent, and real output grows 3 percent. Using the growth-rate form of MV = PY, what inflation rate is implied?",Approximately 4 percent.,1,quantity_equation_with_velocity_change,Ignoring velocity growth or adding real-output growth instead of subtracting it.,Inflation is approximately money growth plus velocity growth minus real-output growth: 9 + (-2) - 3 = 4 percent.,True
P52B-S4-QTM-H-002,quantity-theory-of-money,hard,The money supply rises once by 10 percent while velocity and real output remain fixed. What does the quantity theory predict?,The price level rises once; continued inflation needs continued money growth.,2,price_level_change_vs_inflation,Confusing a one-time increase in the price level with a permanently higher inflation rate.,"With velocity and real output fixed, a one-time money increase produces a one-time proportional price-level increase.",True
P52B-S4-QTM-B1-001,quantity-theory-of-money,boss_easy,"In the equation MV = PY, what does velocity measure?",The average turnover of money in purchases of final output.,3,velocity_definition,"Confusing velocity with inflation, productivity, or an interest rate.",Velocity links the money stock to nominal spending by measuring the average turnover of money.,True
P52B-S4-QTM-B1-002,quantity-theory-of-money,boss_easy,"Money grows 10 percent, real output grows 4 percent, and velocity is stable. What inflation rate is predicted?",Approximately 6 percent.,0,basic_quantity_growth_calculation,Failing to subtract real-output growth from money growth.,"With stable velocity, inflation is approximately money growth minus real-output growth: 10 - 4 = 6 percent.",True
P52B-S4-QTM-B1-003,quantity-theory-of-money,boss_easy,"If money supply and velocity are unchanged while real output rises, what must happen to the price level in MV = PY?",The price level falls.,1,quantity_equation_output_price_tradeoff,Assuming higher real output always raises the price level when nominal spending is fixed.,"If MV is unchanged and Y rises, P must fall so that PY continues to equal nominal spending.",True
P52B-S4-QTM-B3-001,quantity-theory-of-money,boss_hard,"Money supply grows 12 percent, velocity falls 2 percent, and real output grows 3 percent. What inflation rate follows from the quantity equation?",Approximately 7 percent.,2,advanced_quantity_growth_calculation,Adding all growth rates or ignoring the decline in velocity.,Inflation is 12 + (-2) - 3 = 7 percent.,True
P52B-S4-QTM-B3-002,quantity-theory-of-money,boss_hard,Money supply grows 5 percent and velocity grows 1 percent. What is the implied growth rate of nominal GDP?,Approximately 6 percent.,3,nominal_gdp_growth_from_mv,Subtracting velocity growth from money growth when calculating nominal-spending growth.,"Because MV equals nominal GDP, its growth is approximately money growth plus velocity growth: 5 + 1 = 6 percent.",True
P52B-S4-QTM-B3-003,quantity-theory-of-money,boss_hard,A student claims that faster money growth can permanently raise real output at the same rate. What is the best long-run correction?,"In the long run, sustained money growth mainly raises inflation, not real output.",0,quantity_theory_long_run_neutrality,Extending short-run output effects into a permanent long-run relationship.,"In the long run, real output is determined mainly by real factors, so sustained excess money growth appears largely as inflation.",True
P52B-S4-UNEM-B1-001,unemployment-measurement,boss_easy,A worker has a part-time job but is actively searching for full-time work. How is the worker classified in official labor statistics?,"Employed, because the worker has a paid job.",1,underemployment_classification,Classifying an underemployed worker as unemployed.,"Official employment status is based on having work, not on whether the worker wants additional hours.",True
P52B-S4-UNEM-B1-002,unemployment-measurement,boss_easy,A jobless adult is available to work but has not searched during the past four weeks. How is this person usually classified?,Outside the labor force.,2,active_search_requirement,Ignoring the active-search requirement for official unemployment.,A jobless person generally must be available and actively searching to be counted as unemployed.,True
P52B-S4-UNEM-B1-003,unemployment-measurement,boss_easy,Which equation defines the labor force?,Labor force = employed people + unemployed people.,3,labor_force_definition,Including everyone in the population or excluding officially unemployed workers.,The labor force contains people who are employed plus people who are jobless and actively seeking work.,True
P52B-S4-UNEM-B2-001,unemployment-measurement,boss_medium,A discouraged worker stops searching for a job while no one finds employment. What can happen to the official unemployment rate?,It can fall because the worker leaves unemployment and the labor force.,0,discouraged_worker_rate_effect,Assuming the unemployment rate can fall only when employment rises.,"When a discouraged worker exits the labor force, both the number unemployed and the denominator fall, which can lower the rate.",True
