Canonical ID,Concept ID,Pool,Question,Correct Answer,Correct Index,Primary Skill,Common Error,Feedback,Hash Verified
P52B-S2-SUP-E-001,supply,easy,Market supply at a given price is the:,Sum of the quantities all sellers are willing and able to offer.,0,market_supply_aggregation,Confusing market supply with one firm’s supply or with demand.,Market supply horizontally adds the quantities supplied by every seller at each price.,True
P52B-S2-SUP-M-001,supply,medium,"The government begins paying producers a subsidy for every unit sold. What happens to market supply, other things equal?",Supply shifts right because the subsidy lowers the effective marginal cost of selling output.,1,subsidy_as_supply_shifter,Treating a producer subsidy as a movement along supply or a demand shifter.,A per-unit producer subsidy raises the return from supplying each unit and shifts supply right.,True
P52B-S2-SUP-H-001,supply,hard,"Workers accept lower wages, but producers also expect the product’s future price to rise and hold inventory for later sale. What can be concluded about current supply?",The net direction is uncertain because the two changes push current supply in opposite directions.,2,multiple_supply_shifters,Using only one supply shifter when several operate at once.,"Lower wages shift supply right, while holding inventory for a higher future price shifts current supply left. The net direction depends on their relative size.",True
P52B-S2-SUP-EL-001,supply,elite,"A new machine lowers unit production cost, while a new per-unit environmental fee raises cost. Which conclusion about supply is justified without knowing the size of each change?",The net supply shift cannot be determined without comparing the two cost changes.,3,multiple_supply_shifters,Assuming one opposing supply shifter automatically dominates the other.,Technology pushes supply right and the per-unit fee pushes it left. Magnitudes are needed to determine the net shift.,True
P52B-S2-SUP-EL-002,supply,elite,"Twenty new firms enter a market, but an essential input becomes more expensive for every firm. What is the most careful conclusion about market supply?","Entry pushes supply right and higher input cost pushes it left, making the net effect uncertain.",0,market_supply_multiple_shifters,Ignoring an offsetting change in the number of sellers or input costs.,"More sellers expand market supply, while higher input costs reduce it. The final direction depends on relative magnitudes.",True
P52B-S2-SUP-EL-003,supply,elite,"Demand rises and the market price increases. Firms respond by producing more with the same technology, input prices, and number of sellers. Which statement is correct?",Quantity supplied rises along an unchanged supply curve.,1,movement_vs_supply_shift,Calling a price-induced movement along supply an increase in supply.,A change in the good’s own price changes quantity supplied. The supply curve shifts only when a nonprice determinant changes.,True
P52B-S2-SUP-L-001,supply,legendary,"At a price of $30, three sellers offer 12, 18, and 25 units. What is market quantity supplied at that price?",55 units.,2,market_supply_aggregation,Using the largest or average firm quantity instead of summing quantities.,Market quantity supplied is the horizontal sum: 12 + 18 + 25 = 55 units.,True
P52B-S2-SUP-L-002,supply,legendary,"A market has 80 identical firms, each supplying 6 units at a price of $10. If 20 firms exit and each remaining firm’s supply is unchanged, market quantity supplied becomes:",360 units.,3,number_of_sellers_calculation,Forgetting that market supply depends on the number of active sellers.,"Sixty firms remain, so market quantity supplied is 60 × 6 = 360 units.",True
P52B-S2-SUP-L-003,supply,legendary,"A per-unit input cost falls by $4, but a new per-unit tax raises cost by $6. Holding other determinants fixed, what is the likely supply effect?",Supply shifts left because net marginal cost rises by $2 per unit.,0,net_marginal_cost_supply_shift,Treating unequal per-unit cost changes as if they cancel.,"The combined change raises marginal cost by $2 per unit, reducing supply at each price.",True
P52B-S2-SUP-L-004,supply,legendary,Producers expect a temporary price spike next month and can store the product cheaply. What pattern is most plausible?,"Current supply falls as firms hold inventory, while future supply rises when the inventory is released.",1,supply_expectations_timing,Applying future price expectations in the wrong time direction.,"When storage is feasible, a higher expected future price can reduce current supply and increase supply when the stored goods are later sold.",True
P52B-S2-SUP-L-005,supply,legendary,"A surge in demand raises the equilibrium price. Firms expand output, and new firms later enter the industry. Which sequence is correct?",First quantity supplied rises along the curve; later entry shifts market supply right.,2,short_run_long_run_supply_response,Treating immediate output response and later firm entry as the same kind of change.,The higher price first causes a movement along supply. Entry is a nonprice determinant that later shifts market supply right.,True
P52B-S2-SUP-L-006,supply,legendary,"A drought reduces crop yields, while the market price of the crop rises because demand is unchanged. What is the best description?","Supply shifts left, and the higher price causes movement upward along the new supply curve.",3,supply_shift_and_movement,Using the higher equilibrium price as evidence of an increase in supply.,"The drought is a supply shifter. The resulting higher price determines the quantity supplied on the new, left-shifted curve.",True
P52B-S2-SUP-B1-001,supply,boss_easy,"At one price, Firm A supplies 8 units and Firm B supplies 11 units. Market quantity supplied is:",19 units.,0,market_supply_aggregation,Averaging firm quantities instead of adding them.,Market supply adds each seller’s quantity: 8 + 11 = 19.,True
P52B-S2-SUP-B1-002,supply,boss_easy,"The price of oranges rises, and growers offer more oranges while all nonprice determinants stay fixed. This is:",An increase in quantity supplied.,1,movement_vs_supply_shift,Calling a movement caused by the good’s own price a supply shift.,A higher own price causes movement up the existing supply curve.,True
P52B-S2-SUP-B1-003,supply,boss_easy,"The price of an important input falls. What happens to supply, other things equal?",Supply shifts right.,2,supply_shifters_input_costs,Confusing lower production cost with a movement along supply.,"Lower input cost makes production profitable at more output levels, shifting supply right.",True
P52B-S2-SUP-B3-001,supply,boss_hard,"A subsidy lowers marginal cost by $3 per unit, while a regulation raises marginal cost by $3 per unit. What happens to supply if those are the only changes?","The two per-unit effects offset, so supply is unchanged.",3,net_marginal_cost_supply_shift,Assuming the label of a policy matters more than its net marginal-cost effect.,"Equal and opposite per-unit cost changes leave marginal cost, and therefore supply, unchanged.",True
P52B-S2-SUP-B3-002,supply,boss_hard,Four identical firms each supply 15 units at the current price. One firm exits and the remaining firms do not change output. Market quantity supplied becomes:,45 units.,0,number_of_sellers_calculation,Failing to remove the exiting firm’s quantity from market supply.,"Three firms remain, so market quantity supplied is 3 × 15 = 45 units.",True
P52B-S2-SUP-B3-003,supply,boss_hard,Technology improves while the expected future selling price rises sharply and firms store current output. What is the strongest conclusion about current supply?,The net direction is ambiguous without knowing the strength of each effect.,1,multiple_supply_shifters,Declaring a net shift when opposing determinants are not quantified.,"Better technology shifts supply right, while withholding output for future sale shifts current supply left.",True
P52B-S2-RVNGDP-M-001,real-versus-nominal-gdp,medium,"An economy produces exactly the same quantities of every final good in two years, but current prices change. Using fixed base-year prices, which statement must be true?",Real GDP is unchanged.,2,nominal_vs_real_gdp,Treating current-price changes as changes in real output.,"With quantities unchanged, valuing both years at the same base-year prices leaves real GDP unchanged.",True
P52B-S2-RVNGDP-E-001,real-versus-nominal-gdp,easy,Why is real GDP generally preferred to nominal GDP when comparing production across years?,It holds prices constant so the comparison focuses on changes in output.,3,nominal_vs_real_gdp,Assuming nominal values isolate changes in physical production.,Real GDP uses constant prices to separate changes in quantities from changes in the price level.,True
P52B-S2-RVNGDP-M-002,real-versus-nominal-gdp,medium,"Two years have the same nominal GDP, but the second year has a higher GDP deflator. Which year has higher real GDP?",The first year.,0,gdp_deflator,Assuming equal nominal GDP implies equal real output despite different price levels.,"Real GDP equals nominal GDP divided by the price index. With equal nominal GDP, the year with the lower deflator has higher real GDP.",True
P52B-S2-RVNGDP-H-001,real-versus-nominal-gdp,hard,Nominal GDP falls 2 percent while the GDP deflator falls 5 percent. What is the best approximate conclusion?,Real GDP rises about 3 percent.,1,gdp_deflator_growth,Adding nominal and price changes instead of separating them.,Approximate real GDP growth equals nominal GDP growth minus inflation in the deflator: −2% − (−5%) = about 3%.,True
P52B-S2-RVNGDP-H-002,real-versus-nominal-gdp,hard,Base-year prices are $4 for books and $10 for meals. This year the economy produces 120 books and 30 meals. What is this year’s real GDP?,$780.,2,nominal_vs_real_gdp,Using current prices or adding quantities without base-year valuation.,Real GDP uses base-year prices: (120 × $4) + (30 × $10) = $780.,True
P52B-S2-SRPC-L-001,short-run-phillips-curve,legendary,"Two episodes produce the same increase in inflation. In one, unemployment falls after aggregate demand expands; in the other, unemployment rises after an adverse supply shock. What explains the difference?","The demand expansion moves along an SRPC, while the supply shock shifts the curve.",3,movement_vs_shift_srpc,Assuming every inflation change is a movement along one fixed Phillips curve.,Demand changes can move the economy along a given SRPC; supply shocks alter the inflation-unemployment relationship and shift the SRPC.,True
P52B-S2-SRPC-B2-001,short-run-phillips-curve,boss_medium,Aggregate demand contracts unexpectedly while expected inflation is initially fixed. What short-run Phillips-curve movement is most likely?,Toward lower inflation and higher unemployment.,0,move_along_srpc,Confusing a demand-driven movement along the SRPC with a shift of the curve.,An unexpected demand contraction moves the economy down and right along the current SRPC.,True
P52B-S2-EGP-E-001,economic-growth-policy,easy,Why can improved public health support long-run economic growth?,Healthier workers can be more productive and miss fewer workdays.,1,growth_policy,Treating public health as unrelated to human capital and productivity.,"Health investments can strengthen human capital by improving worker productivity, attendance, and productive lifespans.",True
P52B-S2-PCEXP-B2-001,phillips-curve-expectations,boss_medium,"A sharp oil-price increase raises firms’ costs. What happens to the short-run Phillips curve, other things equal?",It shifts up and to the right.,2,supply_shock_pc_shift,Treating an adverse supply shock as a movement along a fixed SRPC.,"An adverse supply shock can raise both inflation and unemployment, shifting the SRPC up-right.",True
P52B-S2-LSG-E-001,living-standards-and-growth,easy,Which measure is generally more useful than total real GDP for comparing average material living standards across countries of different sizes?,Real GDP per person.,3,real_gdp_per_person,Using total output without adjusting for population size.,Real GDP per person relates inflation-adjusted output to the number of people sharing that output.,True
P52B-S2-LSG-E-002,living-standards-and-growth,easy,"Over long periods, the most important source of rising average living standards is usually growth in:","Productivity, meaning more output produced from each unit of labor input.",0,productivity_and_living_standards,Treating nominal variables as the main source of sustained real living-standard growth.,Higher productivity lets an economy produce more goods and services from its available labor and resources.,True
P52B-S2-LSG-E-003,living-standards-and-growth,easy,"If real GDP grows 2 percent and population grows 3 percent, real GDP per person will approximately:",Fall 1 percent.,1,real_gdp_per_person_growth,Adding population growth to output growth.,Approximate per-person growth is 2% − 3% = −1%.,True
P52B-S2-LSG-M-001,living-standards-and-growth,medium,A country’s real GDP grows 4 percent and population grows 1 percent. Approximate growth in real GDP per person is:,3 percent.,2,real_gdp_per_person_growth,Using total GDP growth without adjusting for population.,Approximate real GDP per person growth is 4% − 1% = 3%.,True
